"DURATION","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Zero minutes","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","12.9",""
"Zero minutes","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","29.3",""
"Zero minutes","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","32.5",""
"Zero minutes","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","52.1",""
"Zero minutes","Czechia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","69.7",""
"Zero minutes","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","24.1",""
"Zero minutes","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","33.8",""
"Zero minutes","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","44.6",""
"Zero minutes","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","53.9",""
"Zero minutes","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","77.9",""
"Zero minutes","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","13.6",""
"Zero minutes","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","16.1",""
"Zero minutes","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","18.3",""
"Zero minutes","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","26.0",""
"Zero minutes","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","26.5",""
"Zero minutes","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","8.6",""
"Zero minutes","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","14.3",""
"Zero minutes","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","14.0",""
"Zero minutes","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","15.2",""
"Zero minutes","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","27.5","u"
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","15.0",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","25.8",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","32.0",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","31.0",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","33.5",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","19.0",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","29.9",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","28.0",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","25.1",""
"Zero minutes","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","39.7",""
"Zero minutes","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","33.9",""
"Zero minutes","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","38.1",""
"Zero minutes","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","45.4",""
"Zero minutes","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","55.9",""
"Zero minutes","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","66.6",""
"Zero minutes","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","31.4",""
"Zero minutes","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","46.0",""
"Zero minutes","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","47.8",""
"Zero minutes","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","53.1",""
"Zero minutes","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","77.5",""
"Zero minutes","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","25.1",""
"Zero minutes","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","33.4","u"
"Zero minutes","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","43.1",""
"Zero minutes","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","59.1",""
"Zero minutes","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","76.9","u"
"Zero minutes","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","37.5",""
"Zero minutes","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","44.2",""
"Zero minutes","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","46.1",""
"Zero minutes","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","62.1",""
"Zero minutes","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","82.6","u"
"Zero minutes","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","33.3",""
"Zero minutes","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","48.2",""
"Zero minutes","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","69.7",""
"Zero minutes","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","79.6",""
"Zero minutes","Greece","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","90.8",""
"Zero minutes","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","53.3",""
"Zero minutes","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","66.1",""
"Zero minutes","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","72.5",""
"Zero minutes","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","79.1",""
"Zero minutes","Greece","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","95.4",""
"Zero minutes","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","21.1",""
"Zero minutes","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","30.9",""
"Zero minutes","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","39.8",""
"Zero minutes","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","52.2",""
"Zero minutes","Spain","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","64.2",""
"Zero minutes","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","44.7",""
"Zero minutes","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","51.3",""
"Zero minutes","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","52.7",""
"Zero minutes","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","57.1",""
"Zero minutes","Spain","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","71.7",""
"Zero minutes","France","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","26.4",""
"Zero minutes","France","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","39.9",""
"Zero minutes","France","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","43.1",""
"Zero minutes","France","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","48.9",""
"Zero minutes","France","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","58.9",""
"Zero minutes","France","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","37.7",""
"Zero minutes","France","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","52.1",""
"Zero minutes","France","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","52.5",""
"Zero minutes","France","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","48.0",""
"Zero minutes","France","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","68.9",""
"Zero minutes","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","23.6",""
"Zero minutes","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","44.7",""
"Zero minutes","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","49.3",""
"Zero minutes","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","61.3",""
"Zero minutes","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","73.0",""
"Zero minutes","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","36.6",""
"Zero minutes","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","54.9",""
"Zero minutes","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","57.2",""
"Zero minutes","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","63.6",""
"Zero minutes","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","85.9",""
"Zero minutes","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","37.3",""
"Zero minutes","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","47.2",""
"Zero minutes","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","55.6",""
"Zero minutes","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","62.5",""
"Zero minutes","Italy","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","75.0",""
"Zero minutes","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","54.6",""
"Zero minutes","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","62.5",""
"Zero minutes","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","65.7",""
"Zero minutes","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","69.3",""
"Zero minutes","Italy","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","82.9",""
"Zero minutes","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","50.0",""
"Zero minutes","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","55.4",""
"Zero minutes","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","55.3",""
"Zero minutes","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","59.3",""
"Zero minutes","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","58.8",""
"Zero minutes","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","61.0",""
"Zero minutes","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","61.5",""
"Zero minutes","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","63.9",""
"Zero minutes","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","61.6",""
"Zero minutes","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","72.9",""
"Zero minutes","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","23.0",""
"Zero minutes","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","39.9",""
"Zero minutes","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","46.9",""
"Zero minutes","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","57.9",""
"Zero minutes","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","65.7",""
"Zero minutes","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","28.6",""
"Zero minutes","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","41.2",""
"Zero minutes","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","46.0",""
"Zero minutes","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","52.8",""
"Zero minutes","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","74.2",""
"Zero minutes","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","24.1",""
"Zero minutes","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","46.2",""
"Zero minutes","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","60.6",""
"Zero minutes","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","69.0",""
"Zero minutes","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","77.3",""
"Zero minutes","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","39.2",""
"Zero minutes","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","68.3",""
"Zero minutes","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","68.3",""
"Zero minutes","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","68.1",""
"Zero minutes","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","86.2",""
"Zero minutes","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","14.7","u"
"Zero minutes","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","28.3",""
"Zero minutes","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","33.7","u"
"Zero minutes","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","41.1","u"
"Zero minutes","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","48.4","u"
"Zero minutes","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","21.2","u"
"Zero minutes","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","31.7",""
"Zero minutes","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","37.4",""
"Zero minutes","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","40.2","u"
"Zero minutes","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","58.6","u"
"Zero minutes","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","16.7",""
"Zero minutes","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","30.7",""
"Zero minutes","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","37.3",""
"Zero minutes","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","45.0",""
"Zero minutes","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","61.7",""
"Zero minutes","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","27.6",""
"Zero minutes","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","35.8",""
"Zero minutes","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","36.5",""
"Zero minutes","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","44.2",""
"Zero minutes","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","73.4",""
"Zero minutes","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","33.3",""
"Zero minutes","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","37.8",""
"Zero minutes","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","44.2",""
"Zero minutes","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","48.4",""
"Zero minutes","Malta","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","52.2",""
"Zero minutes","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","46.3",""
"Zero minutes","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","49.4",""
"Zero minutes","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","49.2",""
"Zero minutes","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","46.0",""
"Zero minutes","Malta","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","62.7",""
"Zero minutes","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","14.7",""
"Zero minutes","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","21.0",""
"Zero minutes","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","27.3",""
"Zero minutes","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","28.4",""
"Zero minutes","Austria","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","28.7",""
"Zero minutes","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","16.0",""
"Zero minutes","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","27.7",""
"Zero minutes","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","25.5",""
"Zero minutes","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","21.7",""
"Zero minutes","Austria","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","33.1",""
"Zero minutes","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","30.9",""
"Zero minutes","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","47.5",""
"Zero minutes","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","54.3",""
"Zero minutes","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","63.9",""
"Zero minutes","Poland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","68.2",""
"Zero minutes","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","41.9",""
"Zero minutes","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","55.8",""
"Zero minutes","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","57.3",""
"Zero minutes","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","61.5",""
"Zero minutes","Poland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","82.3",""
"Zero minutes","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","30.5",""
"Zero minutes","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","39.4",""
"Zero minutes","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","51.4",""
"Zero minutes","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","64.3",""
"Zero minutes","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","73.8",""
"Zero minutes","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","46.5",""
"Zero minutes","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","60.3",""
"Zero minutes","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","67.5",""
"Zero minutes","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","70.0",""
"Zero minutes","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","82.8",""
"Zero minutes","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","49.0",""
"Zero minutes","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","72.1",""
"Zero minutes","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","79.0",""
"Zero minutes","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","82.1",""
"Zero minutes","Romania","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","90.2",""
"Zero minutes","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","72.9",""
"Zero minutes","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","91.3",""
"Zero minutes","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","90.6",""
"Zero minutes","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","94.9",""
"Zero minutes","Romania","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","98.7",""
"Zero minutes","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","11.9",""
"Zero minutes","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","28.1",""
"Zero minutes","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","30.1",""
"Zero minutes","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","41.8",""
"Zero minutes","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","57.2",""
"Zero minutes","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","16.9",""
"Zero minutes","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","28.1",""
"Zero minutes","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","33.5",""
"Zero minutes","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","41.5",""
"Zero minutes","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","68.5",""
"Zero minutes","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","18.0",""
"Zero minutes","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","31.2",""
"Zero minutes","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","39.8",""
"Zero minutes","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","52.4",""
"Zero minutes","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","72.6",""
"Zero minutes","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","26.0",""
"Zero minutes","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","48.8",""
"Zero minutes","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","44.8",""
"Zero minutes","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","53.6",""
"Zero minutes","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","76.7",""
"Zero minutes","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","13.9",""
"Zero minutes","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","16.0",""
"Zero minutes","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","21.1",""
"Zero minutes","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","26.7",""
"Zero minutes","Finland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","32.8",""
"Zero minutes","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","15.6",""
"Zero minutes","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","17.2",""
"Zero minutes","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","19.5",""
"Zero minutes","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","20.9",""
"Zero minutes","Finland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","36.8","u"
"Zero minutes","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","16.7",""
"Zero minutes","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","23.4",""
"Zero minutes","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","24.0",""
"Zero minutes","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","25.2",""
"Zero minutes","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","33.6",""
"Zero minutes","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","15.4",""
"Zero minutes","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","20.8",""
"Zero minutes","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","21.9",""
"Zero minutes","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","23.0",""
"Zero minutes","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","37.3","u"
"Zero minutes","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","26.6",""
"Zero minutes","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","28.4",""
"Zero minutes","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","30.3",""
