"HLTH_PB","GEO","UNIT","LEV_LIMIT","ISCED11","TIME","SEX","AGE","Value","Flag and Footnotes"
"Total","Czechia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","86.9",""
"Total","Czechia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","82.2",""
"Total","Czechia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","58.3",""
"Total","Czechia","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","22.2",""
"Total","Denmark","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","35.9",""
"Total","Denmark","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","39.9",""
"Total","Denmark","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","40.8",""
"Total","Denmark","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","50.9",""
"Total","Denmark","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","55.8",""
"Total","Denmark","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","47.1",""
"Total","Denmark","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","36.9",""
"Total","Denmark","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","43.4",""
"Total","Denmark","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","53.4",""
"Total","Denmark","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","50.4",""
"Total","Denmark","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","37.5",""
"Total","Denmark","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","43.9",""
"Total","Denmark","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","46.7",""
"Total","Denmark","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","60.8",""
"Total","Denmark","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","76.0",""
"Total","Denmark","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","50.6",""
"Total","Denmark","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","40.8",""
"Total","Denmark","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","50.2",""
"Total","Denmark","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","61.7",""
"Total","Denmark","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","73.1",""
"Total","Denmark","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.6",""
"Total","Denmark","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","4.0",""
"Total","Denmark","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","5.9",""
"Total","Denmark","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","9.8",""
"Total","Denmark","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","20.2",""
"Total","Denmark","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","3.4",""
"Total","Denmark","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","3.9",""
"Total","Denmark","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","6.8",""
"Total","Denmark","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","8.4",""
"Total","Denmark","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","22.7",""
"Total","Denmark","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","62.5",""
"Total","Denmark","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","56.1",""
"Total","Denmark","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","53.3",""
"Total","Denmark","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","39.2",""
"Total","Denmark","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","24.0",""
"Total","Denmark","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","49.4",""
"Total","Denmark","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","59.2",""
"Total","Denmark","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","49.8",""
"Total","Denmark","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","38.3",""
"Total","Denmark","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","26.9",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","12.3",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","17.5",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","20.3",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","32.4",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","39.4",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","17.3",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","18.0",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","22.0",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","32.6",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","35.4",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","13.6",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","19.8",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","23.7",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","38.1",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","56.8",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","18.9",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","19.5",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","24.6",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","37.4",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","57.8",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.4",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","2.4",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","3.4",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","5.7",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","17.4",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.6",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.5",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","2.6",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","4.8",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","22.4",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","86.4",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","80.2",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","76.3",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","61.9",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","43.2",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","81.1",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","80.5",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","75.4",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","62.6",""
"Total","Germany (until 1990 former territory of the FRG)","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","42.2",""
"Total","Estonia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","21.8",""
"Total","Estonia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","19.5",""
"Total","Estonia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","16.4",""
"Total","Estonia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","30.3",""
"Total","Estonia","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","38.8",""
"Total","Estonia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","19.0",""
"Total","Estonia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","16.2",""
"Total","Estonia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","21.3",""
"Total","Estonia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","33.0",""
"Total","Estonia","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","34.3",""
"Total","Estonia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","23.6",""
"Total","Estonia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","21.3",""
"Total","Estonia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","19.5",""
"Total","Estonia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","40.1",""
"Total","Estonia","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","69.2",""
"Total","Estonia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","22.4",""
"Total","Estonia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","17.8",""
"Total","Estonia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","23.0",""
"Total","Estonia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","41.0",""
"Total","Estonia","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","74.9",""
"Total","Estonia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.8",""
"Total","Estonia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.8",""
"Total","Estonia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","3.1",""
"Total","Estonia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","9.7",""
"Total","Estonia","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","30.3",""
"Total","Estonia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","3.4",""
"Total","Estonia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.6",""
"Total","Estonia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","1.8",""
"Total","Estonia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","8.0",""
"Total","Estonia","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","40.6",""
"Total","Estonia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","76.4",""
"Total","Estonia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","78.7",""
"Total","Estonia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","80.5",""
"Total","Estonia","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","59.9",""
"Total","Estonia","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","30.8",""
"Total","Estonia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","77.6",""
"Total","Estonia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","82.2",""
"Total","Estonia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","77.0",""
"Total","Estonia","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","59.0",""
"Total","Estonia","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","25.1",""
"Total","Ireland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","12.2",""
"Total","Ireland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","8.4",""
"Total","Ireland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","11.7",""
"Total","Ireland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","25.6",""
"Total","Ireland","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","32.7",""
"Total","Ireland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","17.7",""
"Total","Ireland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","13.7",""
"Total","Ireland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","13.1",""
"Total","Ireland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","23.8",""
"Total","Ireland","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","33.4",""
"Total","Ireland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","13.7",""
"Total","Ireland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","9.4",""
"Total","Ireland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","14.5",""
"Total","Ireland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","31.1",""
"Total","Ireland","Percentage","Limited","All ISCED 2011 levels ","2014","Males","65 years or over","47.8",""
"Total","Ireland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","20.0",""
"Total","Ireland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","15.4",""
"Total","Ireland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","15.2",""
"Total","Ireland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","28.5",""
"Total","Ireland","Percentage","Limited","All ISCED 2011 levels ","2014","Females","65 years or over","52.2",""
"Total","Ireland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.5",""
"Total","Ireland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.0",""
"Total","Ireland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","2.7",""
"Total","Ireland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","5.4",""
"Total","Ireland","Percentage","Severe","All ISCED 2011 levels ","2014","Males","65 years or over","15.2",""
"Total","Ireland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","2.3",""
"Total","Ireland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","1.7",""
"Total","Ireland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","2.1",""
"Total","Ireland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","4.7",""
"Total","Ireland","Percentage","Severe","All ISCED 2011 levels ","2014","Females","65 years or over","18.8",""
"Total","Ireland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","86.3",""
"Total","Ireland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","90.6",""
"Total","Ireland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","85.5",""
"Total","Ireland","Percentage","None","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","68.9",""
"Total","Ireland","Percentage","None","All ISCED 2011 levels ","2014","Males","65 years or over","52.2",""
"Total","Ireland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","80.0",""
"Total","Ireland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","84.6",""
"Total","Ireland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","84.8",""
"Total","Ireland","Percentage","None","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","71.5",""
"Total","Ireland","Percentage","None","All ISCED 2011 levels ","2014","Females","65 years or over","47.8",""
"Total","Greece","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","6.1",""
"Total","Greece","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","12.4",""
"Total","Greece","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","16.6",""
"Total","Greece","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","27.5",""
"Total","Greece","Percentage","Moderate","All ISCED 2011 levels ","2014","Males","65 years or over","41.5",""
"Total","Greece","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","9.4",""
"Total","Greece","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","12.8",""
"Total","Greece","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","17.1",""
"Total","Greece","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","32.3",""
"Total","Greece","Percentage","Moderate","All ISCED 2011 levels ","2014","Females","65 years or over","41.0",""
"Total","Greece","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","8.2",""
"Total","Greece","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","14.5",""
"Total","Greece","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","19.4",""
"Total","Greece","Percentage","Limited","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","32.8",""
