"FREQUENC","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Every day","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","26.6",""
"Every day","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.4",""
"Every day","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.8",""
"Every day","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.9",""
"Every day","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","5.2",""
"Every day","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","6.8",""
"Every day","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","1.7","d"
"Every day","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","7.1","d"
"Every day","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","11.9","d"
"Every day","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","22.2","d"
"Every day","Italy","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","40.0","d"
"Every day","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.4","d"
"Every day","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","1.9","d"
"Every day","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","4.1","d"
"Every day","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","8.2","d"
"Every day","Italy","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","17.5","d"
"Every day","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0.9",""
"Every day","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","2.0",""
"Every day","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","3.7",""
"Every day","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","14.1",""
"Every day","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","14.8",""
"Every day","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.1",""
"Every day","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","1.1",""
"Every day","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.5",""
"Every day","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.3",""
"Every day","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.6",""
"Every day","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0.2",""
"Every day","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","2.0",""
"Every day","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","3.5",""
"Every day","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","2.8",""
"Every day","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","4.1",""
"Every day","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.4",""
"Every day","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.4",""
"Every day","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.6",""
"Every day","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.8",""
"Every day","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0.1",""
"Every day","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0",""
"Every day","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.8",""
"Every day","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","1.4",""
"Every day","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","1.8",""
"Every day","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","1.7",""
"Every day","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0",""
"Every day","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.2",""
"Every day","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.2",""
"Every day","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0",""
"Every day","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","1.6",""
"Every day","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","5.5",""
"Every day","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","12.3",""
"Every day","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","16.4",""
"Every day","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","31.0",""
"Every day","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","1.3",""
"Every day","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","2.6",""
"Every day","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","7.6",""
"Every day","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","12.8",""
"Every day","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0.5",""
"Every day","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","5.8",""
"Every day","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","5.0",""
"Every day","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","17.4",""
"Every day","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","30.3",""
"Every day","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0",""
"Every day","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.6",""
"Every day","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","2.5",""
"Every day","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","6.1",""
"Every day","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","1.8",""
"Every day","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","3.3",""
"Every day","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","8.8",""
"Every day","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","16.3",""
"Every day","Malta","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","21.5",""
"Every day","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","2.4",""
"Every day","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.3",""
"Every day","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","5.6",""
"Every day","Malta","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","4.9",""
"Every day","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","1.1",""
"Every day","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","4.3",""
"Every day","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","5.0",""
"Every day","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","10.9",""
"Every day","Austria","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","24.6",""
"Every day","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.5",""
"Every day","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.2",""
"Every day","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","3.0",""
"Every day","Austria","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","6.2",""
"Every day","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0.9",""
"Every day","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","3.4",""
"Every day","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","3.6",""
"Every day","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","5.0",""
"Every day","Poland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","2.9",""
"Every day","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.3",""
"Every day","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.2",""
"Every day","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.7",""
"Every day","Poland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0.3",""
"Every day","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","1.2",""
"Every day","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","13.2",""
"Every day","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","32.8",""
"Every day","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","55.0",""
"Every day","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","58.3",""
"Every day","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","2.3",""
"Every day","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","8.2",""
"Every day","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","15.4",""
"Every day","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","19.8",""
"Every day","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0.6",""
"Every day","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","5.1",""
"Every day","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","7.9",""
"Every day","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","9.9",""
"Every day","Romania","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","8.8",""
"Every day","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.2",""
"Every day","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.4",""
"Every day","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.8",""
"Every day","Romania","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.1",""
"Every day","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","2.1",""
"Every day","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","5.4",""
"Every day","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","6.7",""
"Every day","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","16.8",""
"Every day","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","22.8",""
"Every day","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.4",""
"Every day","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.4",""
"Every day","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.2",""
"Every day","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","3.6",""
"Every day","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","7.7",""
"Every day","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0",""
"Every day","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","3.2",""
"Every day","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","5.4",""
"Every day","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","8.6",""
"Every day","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","9.5",""
"Every day","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.2",""
"Every day","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.4",""
"Every day","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.8",""
"Every day","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.0",""
"Every day","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.0",""
"Every day","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0",""
"Every day","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.1",""
"Every day","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","4.7",""
"Every day","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","5.9",""
"Every day","Finland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","5.4",""
"Every day","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Every day","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.7",""
"Every day","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.7",""
"Every day","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","2.0",""
"Every day","Finland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.8",""
"Every day","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0.6",""
"Every day","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.8",""
"Every day","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","2.6",""
"Every day","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","3.3",""
"Every day","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","10.1",""
"Every day","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.2",""
"Every day","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.2",""
"Every day","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.0",""
"Every day","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.4",""
"Every day","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","4.0",""
"Every day","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0.8",""
"Every day","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","2.6",""
"Every day","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","7.0",""
"Every day","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","11.4",""
"Every day","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","19.9",""
"Every day","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.2",""
"Every day","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","1.7",""
"Every day","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","2.2",""
"Every day","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","6.3",""
"Every day","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","11.2",""
"Every day","Iceland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0",""
"Every day","Iceland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.5",""
"Every day","Iceland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","1.1",""
"Every day","Iceland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","1.1",""
"Every day","Iceland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","2.0",""
"Every day","Iceland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.3",""
"Every day","Iceland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0",""
"Every day","Iceland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.5",""
"Every day","Iceland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.2",""
"Every day","Iceland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0.5",""
"Every day","Norway","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0",""
"Every day","Norway","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.6",""
"Every day","Norway","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","2.0",""
"Every day","Norway","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","2.7",""
"Every day","Norway","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","7.3",""
"Every day","Norway","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0.2",""
"Every day","Norway","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0",""
"Every day","Norway","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.9",""
"Every day","Norway","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.6",""
"Every day","Norway","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","3.2",""
