"N_PORTION","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","38.9",""
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","34.2",""
"0 portions","Czechia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","43.8",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","57.9",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","49.4",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","47.7",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","45.7",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","41.6",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","37.6",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","28.9",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","22.7",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","24.3",""
"0 portions","Denmark","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","28.2",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","61.5",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","67.4",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","61.7",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","56.1",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","32.4",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","49.3",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","48.2",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","41.5",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","35.5",""
"0 portions","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","22.3",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","48.9",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","41.9",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","39.0",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","42.3",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","35.7",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","40.6",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","31.0",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","28.1",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","23.9",""
"0 portions","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","29.9",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","47.0",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","36.7",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","38.7",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","37.1",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","32.6",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","42.7",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","31.3",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","24.6",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","25.4",""
"0 portions","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","25.7",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","45.6",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","47.8",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","48.0",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","30.2",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","15.7",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","36.2",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","35.7",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","36.4",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","24.7",""
"0 portions","Greece","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","11.0",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","43.9",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","38.8",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","36.0",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","24.4",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","13.8",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","39.9",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","28.9",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","23.8",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","14.2",""
"0 portions","Spain","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","11.3",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","57.1",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","54.9",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","49.9",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","36.8",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","16.6",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","45.8",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","42.2",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","33.4",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","24.0",""
"0 portions","France","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","12.3",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","34.4",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","33.6",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","33.9",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","29.0",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","28.3",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","26.9",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","28.4",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","27.8",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","20.1",""
"0 portions","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","23.8",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","40.9",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","37.6",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","31.0",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","22.9",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","14.4",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","34.0",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","27.5",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","23.0",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","17.4",""
"0 portions","Italy","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","13.2",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","51.4",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","45.8",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","42.4",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","29.1",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","18.4",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","37.8",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","35.2",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","27.0",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","23.6",""
"0 portions","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","23.8",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","57.3",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","59.0",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","50.2",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","55.5",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","50.4",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","48.3",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","44.4",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","41.2",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","39.0",""
"0 portions","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","48.2",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","43.9",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","43.1",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","51.3",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","46.0",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","46.7",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","39.4",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","35.0",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","35.3",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","33.0",""
"0 portions","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","45.1",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","45.9",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","55.2",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","50.5",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","40.7",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","25.9",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","40.3",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","38.5",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","28.9",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","22.7",""
"0 portions","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","19.5",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","43.5",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","42.1",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","45.7",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","38.1",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","22.1",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","38.0",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","36.6",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","30.4",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","26.3",""
"0 portions","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","20.3",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","48.7",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","48.0",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","38.2",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","36.9",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","30.1",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","46.9",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","38.8",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","30.7",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","26.4",""
"0 portions","Malta","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","21.9",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","61.9",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","61.8",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","57.6",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","53.9",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","30.6",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","57.5",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","45.5",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","45.4",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","38.1",""
"0 portions","Netherlands","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","21.8",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","48.6",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","44.8",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","44.5",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","40.4",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","29.5",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","28.7",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","26.4",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","27.4",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","21.3",""
"0 portions","Austria","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","16.7",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","40.5",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","41.0",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","36.8",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","38.5",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","34.9",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","35.2",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","30.7",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","27.9",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","24.8",""
"0 portions","Poland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","30.0",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","43.2",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","32.8",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","24.5",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","18.5",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","14.7",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","32.3",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","24.5",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","19.0",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","12.9",""
"0 portions","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","12.5",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","65.5",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","64.1",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","69.4",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","69.2",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","68.1",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","58.6",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","60.8",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","62.7",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","63.7",""
"0 portions","Romania","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","65.2",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","43.5",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","44.0",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","42.2",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","29.8",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","14.4",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","34.0",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","26.7",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","24.1",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","18.7",""
"0 portions","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","10.8",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","54.4",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","57.3",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","53.0",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","53.3",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","52.6",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","42.0",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","36.6",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","41.1",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","38.2",""
"0 portions","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","41.5",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","59.4",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","55.7",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","57.3",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","51.9",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","42.6",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","41.7",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","32.7",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","38.5",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","30.6",""
"0 portions","Finland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","29.5",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","45.0",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","53.4",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","48.0",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","46.4",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","35.7",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","37.6",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","30.5",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","27.6",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","24.8",""
"0 portions","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","24.6",""
"0 portions","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","31.6",""
"0 portions","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","25.1",""
"0 portions","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","27.8",""
"0 portions","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","27.7",""
