"BMI","GEO","UNIT","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","4.5",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.8",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.6",""
"Underweight","Germany (until 1990 former territory of the FRG)","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","2.1",""
"Underweight","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","5.2",""
"Underweight","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.6",""
"Underweight","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.4",""
"Underweight","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","1.1",""
"Underweight","Estonia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.8",""
"Underweight","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","11.7",""
"Underweight","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","5.4",""
"Underweight","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","4.2",""
"Underweight","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.0",""
"Underweight","Estonia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.6",""
"Underweight","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","6.8","u"
"Underweight","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.6","u"
"Underweight","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.8",""
"Underweight","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.4",""
"Underweight","Ireland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.8",""
"Underweight","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","5.6","u"
"Underweight","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","4.0","u"
"Underweight","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.6",""
"Underweight","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.5",""
"Underweight","Ireland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","3.3",""
"Underweight","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","4.0",""
"Underweight","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.1",""
"Underweight","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.3",""
"Underweight","Greece","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.7",""
"Underweight","Greece","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.7",""
"Underweight","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","12.5",""
"Underweight","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","3.8",""
"Underweight","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","4.7",""
"Underweight","Greece","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.4",""
"Underweight","Greece","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.3",""
"Underweight","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","6.5",""
"Underweight","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.8",""
"Underweight","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.4",""
"Underweight","Spain","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.6",""
"Underweight","Spain","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.6",""
"Underweight","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","13.5",""
"Underweight","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","4.3",""
"Underweight","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","4.2",""
"Underweight","Spain","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.7",""
"Underweight","Spain","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.7",""
"Underweight","France","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","11.0",""
"Underweight","France","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.3",""
"Underweight","France","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","1.5",""
"Underweight","France","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.8",""
"Underweight","France","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.9",""
"Underweight","France","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","16.6",""
"Underweight","France","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","6.7",""
"Underweight","France","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","5.8",""
"Underweight","France","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","2.8",""
"Underweight","France","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","2.8",""
"Underweight","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","3.9",""
"Underweight","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.8",""
"Underweight","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.3",""
"Underweight","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.1",""
"Underweight","Croatia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.5",""
"Underweight","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","12.4",""
"Underweight","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","7.1",""
"Underweight","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","2.0",""
"Underweight","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.7",""
"Underweight","Croatia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","2.4",""
"Underweight","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","6.2",""
"Underweight","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.7",""
"Underweight","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.4",""
"Underweight","Italy","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.4",""
"Underweight","Italy","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.9",""
"Underweight","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","18.5",""
"Underweight","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","9.5",""
"Underweight","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","5.7",""
"Underweight","Italy","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","3.3",""
"Underweight","Italy","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","2.7",""
"Underweight","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","4.4",""
"Underweight","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.0",""
"Underweight","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.6",""
"Underweight","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0",""
"Underweight","Cyprus","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0",""
"Underweight","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","15.0",""
"Underweight","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","15.2",""
"Underweight","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","7.0",""
"Underweight","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.3",""
"Underweight","Cyprus","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0.7",""
"Underweight","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","3.2",""
"Underweight","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.6",""
"Underweight","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.5",""
"Underweight","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.6",""
"Underweight","Latvia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.4",""
"Underweight","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","8.3",""
"Underweight","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","5.7",""
"Underweight","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","3.2",""
"Underweight","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.0",""
"Underweight","Latvia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0.5",""
"Underweight","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","4.8",""
"Underweight","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.4",""
"Underweight","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.4",""
"Underweight","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.4",""
"Underweight","Lithuania","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.6",""
"Underweight","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","13.2",""
"Underweight","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","6.2",""
"Underweight","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","3.5",""
"Underweight","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.7",""
"Underweight","Lithuania","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0.5",""
"Underweight","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","7.2",""
"Underweight","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.8",""
"Underweight","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","1.3",""
"Underweight","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.1",""
"Underweight","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.6",""
"Underweight","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","7.5",""
"Underweight","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","7.8",""
"Underweight","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","4.6",""
"Underweight","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","2.8",""
"Underweight","Luxembourg","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","3.5",""
"Underweight","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","6.9",""
"Underweight","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","2.5",""
"Underweight","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.3",""
"Underweight","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","1.1",""
"Underweight","Hungary","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.8",""
"Underweight","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","16.6",""
"Underweight","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","7.8",""
"Underweight","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","4.7",""
"Underweight","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.5",""
"Underweight","Hungary","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.1",""
"Underweight","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","5.4",""
"Underweight","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.0",""
"Underweight","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.4",""
"Underweight","Malta","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.4",""
"Underweight","Malta","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.8",""
"Underweight","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","10.0",""
"Underweight","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","3.9",""
"Underweight","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","4.2",""
"Underweight","Malta","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.1",""
"Underweight","Malta","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0.8","u"
"Underweight","Netherlands","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","9.1",""
"Underweight","Netherlands","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.6",""
"Underweight","Netherlands","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.6",""
"Underweight","Netherlands","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.5",""
"Underweight","Netherlands","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.2",""
"Underweight","Netherlands","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","8.5",""
"Underweight","Netherlands","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","4.1",""
"Underweight","Netherlands","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.5",""
"Underweight","Netherlands","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.0",""
"Underweight","Netherlands","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.0",""
"Underweight","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","3.7",""
"Underweight","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.5",""
"Underweight","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","1.5",""
"Underweight","Austria","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.3",""
"Underweight","Austria","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","1.2",""
"Underweight","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","12.1",""
"Underweight","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","6.4",""
"Underweight","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","4.3",""
"Underweight","Austria","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.7",""
"Underweight","Austria","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.7",""
"Underweight","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","5.4",""
"Underweight","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.6",""
"Underweight","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.6",""
"Underweight","Poland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.3",""
"Underweight","Poland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.9",""
"Underweight","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","15.6",""
"Underweight","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","6.0",""
"Underweight","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","3.4",""
"Underweight","Poland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.5",""
"Underweight","Poland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.7",""
"Underweight","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","8.8",""
"Underweight","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.9",""
"Underweight","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.0",""
"Underweight","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.5",""
"Underweight","Portugal","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.4",""
"Underweight","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","13.5",""
"Underweight","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","3.0",""
"Underweight","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","2.4",""
"Underweight","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.9",""
"Underweight","Portugal","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.7",""
"Underweight","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","3.6",""
"Underweight","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.1",""
"Underweight","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.1",""
"Underweight","Romania","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.5",""
"Underweight","Romania","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.4",""
"Underweight","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","8.1",""
"Underweight","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","3.8",""
"Underweight","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.1",""
"Underweight","Romania","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.9",""
"Underweight","Romania","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0.6",""
"Underweight","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","3.2",""
"Underweight","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.7",""
"Underweight","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0",""
"Underweight","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.9",""
"Underweight","Slovenia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.2",""
"Underweight","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","8.9",""
"Underweight","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","6.3",""
"Underweight","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.8",""
"Underweight","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.1",""
"Underweight","Slovenia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.3",""
"Underweight","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","4.7",""
"Underweight","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.9",""
"Underweight","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0",""
"Underweight","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.9",""
"Underweight","Slovakia","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","1.0",""
"Underweight","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","14.3",""
"Underweight","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","6.0",""
"Underweight","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","2.9",""
"Underweight","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.5",""
"Underweight","Slovakia","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","0.4",""
"Underweight","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","7.1",""
"Underweight","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.8",""
"Underweight","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0.4",""
"Underweight","Finland","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.1",""
"Underweight","Finland","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","0.3",""
"Underweight","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","7.9",""
"Underweight","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","2.2",""
"Underweight","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","1.9",""
"Underweight","Finland","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.2",""
"Underweight","Finland","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.2",""
"Underweight","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","7.1",""
"Underweight","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.4",""
"Underweight","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0",""
"Underweight","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.3",""
"Underweight","Sweden","Percentage","2014","All ISCED 2011 levels ","Males","65 years or over","1.5",""
"Underweight","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","9.5",""
"Underweight","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","4.6",""
"Underweight","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","2.1",""
"Underweight","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","1.0",""
"Underweight","Sweden","Percentage","2014","All ISCED 2011 levels ","Females","65 years or over","1.8",""
"Underweight","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","7.7",""
"Underweight","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","1.6",""
"Underweight","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","1.0",""
"Underweight","United Kingdom","Percentage","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.4",""
