"SMOKING","GEO","UNIT","ISCED11","SEX","AGE","TIME","Value","Flag and Footnotes"
"Non-smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","72.8",""
"Non-smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","71.7",""
"Non-smoker","Czechia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","90.3",""
"Non-smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","77.3",""
"Non-smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","70.2",""
"Non-smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","78.1",""
"Non-smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","77.6",""
"Non-smoker","Denmark","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","82.6",""
"Non-smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","76.4",""
"Non-smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","76.5",""
"Non-smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","80.0",""
"Non-smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","78.9",""
"Non-smoker","Denmark","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","88.3",""
"Non-smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","74.8",""
"Non-smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","63.4",""
"Non-smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","70.1",""
"Non-smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","73.3",""
"Non-smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","90.9",""
"Non-smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","78.1",""
"Non-smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","74.5",""
"Non-smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","77.4",""
"Non-smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","77.5",""
"Non-smoker","Germany (until 1990 former territory of the FRG)","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","93.2",""
"Non-smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","65.6",""
"Non-smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","61.5",""
"Non-smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","58.0",""
"Non-smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","54.3",""
"Non-smoker","Estonia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","81.8",""
"Non-smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","79.8",""
"Non-smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","75.4",""
"Non-smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","77.4",""
"Non-smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","74.6",""
"Non-smoker","Estonia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","93.6",""
"Non-smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","70.6",""
"Non-smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","69.5",""
"Non-smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","75.8",""
"Non-smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","77.0",""
"Non-smoker","Ireland","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","87.4",""
"Non-smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","73.5",""
"Non-smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","73.8",""
"Non-smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","78.8",""
"Non-smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","82.1",""
"Non-smoker","Ireland","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","88.8",""
"Non-smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","68.3",""
"Non-smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","45.5",""
"Non-smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","50.3",""
"Non-smoker","Greece","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","56.1",""
"Non-smoker","Greece","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","81.2",""
"Non-smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","80.3",""
"Non-smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","65.9",""
"Non-smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","61.1",""
"Non-smoker","Greece","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","66.7",""
"Non-smoker","Greece","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","91.3",""
"Non-smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","74.9",""
"Non-smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","59.4",""
"Non-smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","63.8",""
"Non-smoker","Spain","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","66.5",""
"Non-smoker","Spain","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","86.5",""
"Non-smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","82.2",""
"Non-smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","71.0",""
"Non-smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","73.0",""
"Non-smoker","Spain","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","74.5",""
"Non-smoker","Spain","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","95.9",""
"Non-smoker","France","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","63.9",""
"Non-smoker","France","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","53.2",""
"Non-smoker","France","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","58.9",""
"Non-smoker","France","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","67.7",""
"Non-smoker","France","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","88.6",""
"Non-smoker","France","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","71.9",""
"Non-smoker","France","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","65.2",""
"Non-smoker","France","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","66.0",""
"Non-smoker","France","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","75.0",""
"Non-smoker","France","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","93.1",""
"Non-smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","73.2",""
"Non-smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","60.5",""
"Non-smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","59.2",""
"Non-smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","62.3",""
"Non-smoker","Croatia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","85.6",""
"Non-smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","74.4",""
"Non-smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","68.5",""
"Non-smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","66.6",""
"Non-smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","68.9",""
"Non-smoker","Croatia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","91.7",""
"Non-smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","76.2",""
"Non-smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","58.1",""
"Non-smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","62.5",""
"Non-smoker","Italy","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","70.7",""
"Non-smoker","Italy","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","85.7",""
"Non-smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","82.2",""
"Non-smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","76.4",""
"Non-smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","80.5",""
"Non-smoker","Italy","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","78.1",""
"Non-smoker","Italy","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","92.1",""
"Non-smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","63.3",""
"Non-smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","44.6",""
"Non-smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","53.0",""
"Non-smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","56.5",""
"Non-smoker","Cyprus","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","78.8",""
"Non-smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","87.7",""
"Non-smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","70.9",""
"Non-smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","78.9",""
"Non-smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","83.9",""
"Non-smoker","Cyprus","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","94.7",""
"Non-smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","63.9",""
"Non-smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","46.0",""
"Non-smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","46.6",""
"Non-smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","55.3",""
"Non-smoker","Latvia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","77.5",""
"Non-smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","74.8",""
"Non-smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","75.6",""
"Non-smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","74.3",""
"Non-smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","78.3",""
"Non-smoker","Latvia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","94.4",""
"Non-smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","71.3",""
"Non-smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","52.8",""
"Non-smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","51.2",""
"Non-smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","51.4",""
"Non-smoker","Lithuania","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","79.7",""
"Non-smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","88.9",""
"Non-smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","78.3",""
"Non-smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","80.7",""
"Non-smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","85.6",""
"Non-smoker","Lithuania","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","98.3",""
"Non-smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","75.1",""
"Non-smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","71.1",""
"Non-smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","74.5",""
"Non-smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","75.5",""
"Non-smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","88.3",""
"Non-smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","80.0",""
"Non-smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","79.1",""
"Non-smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","77.9",""
"Non-smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","80.7",""
"Non-smoker","Luxembourg","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","94.8",""
"Non-smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","63.7",""
"Non-smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","57.7",""
"Non-smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","61.8",""
"Non-smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","67.2",""
"Non-smoker","Hungary","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","82.0",""
"Non-smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","75.2",""
"Non-smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","71.4",""
"Non-smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","76.2",""
"Non-smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","70.8",""
"Non-smoker","Hungary","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","93.0",""
"Non-smoker","Malta","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","74.1",""
"Non-smoker","Malta","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","68.4",""
"Non-smoker","Malta","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","66.3",""
"Non-smoker","Malta","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","71.2",""
"Non-smoker","Malta","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","83.3",""
"Non-smoker","Malta","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","81.0",""
"Non-smoker","Malta","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","71.8",""
"Non-smoker","Malta","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","73.7",""
"Non-smoker","Malta","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","74.8",""
"Non-smoker","Malta","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","94.6",""
"Non-smoker","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","68.4",""
"Non-smoker","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","61.3",""
"Non-smoker","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","68.7",""
"Non-smoker","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","70.7",""
"Non-smoker","Netherlands","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","84.4",""
"Non-smoker","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","73.9",""
"Non-smoker","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","73.1",""
"Non-smoker","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","79.8",""
"Non-smoker","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","76.1",""
"Non-smoker","Netherlands","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","87.3",""
"Non-smoker","Austria","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","58.6",""
"Non-smoker","Austria","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","56.6",""
"Non-smoker","Austria","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","60.8",""
"Non-smoker","Austria","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","66.5",""
"Non-smoker","Austria","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","89.0",""
"Non-smoker","Austria","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","67.6",""
"Non-smoker","Austria","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","62.7",""
"Non-smoker","Austria","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","65.7",""
"Non-smoker","Austria","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","69.5",""
"Non-smoker","Austria","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","91.8",""
"Non-smoker","Poland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","76.0",""
"Non-smoker","Poland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","64.8",""
"Non-smoker","Poland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","65.1",""
"Non-smoker","Poland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","61.2",""
"Non-smoker","Poland","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","79.8",""
"Non-smoker","Poland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","86.2",""
"Non-smoker","Poland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","79.7",""
"Non-smoker","Poland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","78.5",""
"Non-smoker","Poland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","70.5",""
"Non-smoker","Poland","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","90.6",""
"Non-smoker","Portugal","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","75.0",""
"Non-smoker","Portugal","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","58.1",""
"Non-smoker","Portugal","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","66.9",""
"Non-smoker","Portugal","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","67.8",""
"Non-smoker","Portugal","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","91.6",""
"Non-smoker","Portugal","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","82.6",""
"Non-smoker","Portugal","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","77.7",""
"Non-smoker","Portugal","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","80.5",""
"Non-smoker","Portugal","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","86.2",""
"Non-smoker","Portugal","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","98.1",""
"Non-smoker","Romania","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","75.9",""
"Non-smoker","Romania","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","43.8",""
"Non-smoker","Romania","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","52.0",""
"Non-smoker","Romania","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","55.7",""
"Non-smoker","Romania","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","82.6",""
"Non-smoker","Romania","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","88.9",""
"Non-smoker","Romania","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","77.6",""
"Non-smoker","Romania","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","81.5",""
"Non-smoker","Romania","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","87.6",""
"Non-smoker","Romania","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","97.6",""
"Non-smoker","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","76.4",""
"Non-smoker","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","61.0",""
"Non-smoker","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","68.5",""
"Non-smoker","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","70.1",""
"Non-smoker","Slovenia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","90.5",""
"Non-smoker","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","75.5",""
"Non-smoker","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","73.2",""
"Non-smoker","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","72.2",""
"Non-smoker","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","74.3",""
"Non-smoker","Slovenia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","94.9",""
"Non-smoker","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","63.9",""
"Non-smoker","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","55.6",""
"Non-smoker","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","57.4",""
"Non-smoker","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","60.6",""
"Non-smoker","Slovakia","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","80.2",""
"Non-smoker","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","76.7",""
"Non-smoker","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","69.5",""
"Non-smoker","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","73.3",""
"Non-smoker","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","76.5",""
"Non-smoker","Slovakia","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","94.7",""
"Non-smoker","Finland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","76.9",""
"Non-smoker","Finland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","66.7",""
"Non-smoker","Finland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","78.4",""
"Non-smoker","Finland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","2014","76.2",""
"Non-smoker","Finland","Percentage","All ISCED 2011 levels ","Males","65 years or over","2014","88.2",""
"Non-smoker","Finland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","2014","75.4",""
"Non-smoker","Finland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","2014","75.9",""
"Non-smoker","Finland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","2014","83.3",""
"Non-smoker","Finland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","2014","83.0",""
"Non-smoker","Finland","Percentage","All ISCED 2011 levels ","Females","65 years or over","2014","92.9",""
"Non-smoker","Sweden","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","2014","83.3",""
"Non-smoker","Sweden","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2014","76.0",""
"Non-smoker","Sweden","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","2014","80.9",""
