"LEVELS","GEO","SEX","AGE","ISCED11","TIME","UNIT","Value","Flag and Footnotes"
"Mild","Ireland","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","20.1",""
"Mild","Ireland","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","14.2",""
"Mild","Ireland","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","13.3",""
"Mild","Ireland","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","10.2",""
"Mild","Ireland","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","22.5",""
"Mild","Ireland","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","25.1",""
"Mild","Ireland","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","20.5",""
"Mild","Ireland","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","14.7",""
"Mild","Ireland","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","13.8","u"
"Mild","Greece","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","3.1",""
"Mild","Greece","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","2.7",""
"Mild","Greece","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","5.8",""
"Mild","Greece","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","4.7",""
"Mild","Greece","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","11.1",""
"Mild","Greece","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","3.5",""
"Mild","Greece","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","6.4",""
"Mild","Greece","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","10.7",""
"Mild","Greece","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","8.7",""
"Mild","Greece","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","16.7",""
"Mild","Spain","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","4.0",""
"Mild","Spain","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","5.7",""
"Mild","Spain","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","6.3",""
"Mild","Spain","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","7.1",""
"Mild","Spain","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","7.3",""
"Mild","Spain","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","9.0",""
"Mild","Spain","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","10.7",""
"Mild","Spain","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","10.6",""
"Mild","Spain","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","12.9",""
"Mild","Spain","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","16.6",""
"Mild","France","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","10.9",""
"Mild","France","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","10.4",""
"Mild","France","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","14.5",""
"Mild","France","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","11.7",""
"Mild","France","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","13.2",""
"Mild","France","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","17.1",""
"Mild","France","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","18.2",""
"Mild","France","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","18.4",""
"Mild","France","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","18.1",""
"Mild","France","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","20.5",""
"Mild","Croatia","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","1.3",""
"Mild","Croatia","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","2.4",""
"Mild","Croatia","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","5.0",""
"Mild","Croatia","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","8.6",""
"Mild","Croatia","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","9.5",""
"Mild","Croatia","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","4.1",""
"Mild","Croatia","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","5.5",""
"Mild","Croatia","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","8.7",""
"Mild","Croatia","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","10.6",""
"Mild","Croatia","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","15.7",""
"Mild","Italy","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","4.7",""
"Mild","Italy","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","5.4",""
"Mild","Italy","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","5.5",""
"Mild","Italy","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","8.3",""
"Mild","Italy","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","13.0",""
"Mild","Italy","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","8.5",""
"Mild","Italy","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","7.0",""
"Mild","Italy","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","10.0",""
"Mild","Italy","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","12.7",""
"Mild","Italy","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","21.4",""
"Mild","Cyprus","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","1.7",""
"Mild","Cyprus","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","4.7",""
"Mild","Cyprus","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","4.4",""
"Mild","Cyprus","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","8.8",""
"Mild","Cyprus","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","7.3",""
"Mild","Cyprus","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","3.3",""
"Mild","Cyprus","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","5.8",""
"Mild","Cyprus","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","7.9",""
"Mild","Cyprus","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","13.9",""
"Mild","Cyprus","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","18.8",""
"Mild","Latvia","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","8.8",""
"Mild","Latvia","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","7.6",""
"Mild","Latvia","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","11.4",""
"Mild","Latvia","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","10.4",""
"Mild","Latvia","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","13.8",""
"Mild","Latvia","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","12.4",""
"Mild","Latvia","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","12.5",""
"Mild","Latvia","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","9.7",""
"Mild","Latvia","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","14.7",""
"Mild","Latvia","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","20.4",""
"Mild","Lithuania","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","2.6",""
"Mild","Lithuania","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","4.2",""
"Mild","Lithuania","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","4.8",""
"Mild","Lithuania","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","8.3",""
"Mild","Lithuania","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","12.5",""
"Mild","Lithuania","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","3.8",""
"Mild","Lithuania","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","6.4",""
"Mild","Lithuania","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","5.4",""
"Mild","Lithuania","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","12.5",""
"Mild","Lithuania","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","21.5",""
"Mild","Luxembourg","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","25.7",""
"Mild","Luxembourg","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","22.1",""
"Mild","Luxembourg","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","19.5",""
"Mild","Luxembourg","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","18.1",""
"Mild","Luxembourg","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","15.9",""
"Mild","Luxembourg","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","31.3",""
"Mild","Luxembourg","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","26.4",""
"Mild","Luxembourg","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","24.0",""
"Mild","Luxembourg","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","24.5",""
"Mild","Luxembourg","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","20.5",""
"Mild","Hungary","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","6.9",""
"Mild","Hungary","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","7.8",""
"Mild","Hungary","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","12.3",""
"Mild","Hungary","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","18.8",""
"Mild","Hungary","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","21.3",""
"Mild","Hungary","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","12.5",""
"Mild","Hungary","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","16.3",""
"Mild","Hungary","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","15.0",""
"Mild","Hungary","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","21.6",""
"Mild","Hungary","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","29.4",""
"Mild","Malta","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","9.9",""
"Mild","Malta","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","6.4",""
"Mild","Malta","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","5.2",""
"Mild","Malta","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","9.7",""
"Mild","Malta","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","8.3",""
"Mild","Malta","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","10.7",""
"Mild","Malta","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","8.0",""
"Mild","Malta","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","11.9",""
"Mild","Malta","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","12.1",""
"Mild","Malta","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","13.8",""
"Mild","Austria","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","11.7",""
"Mild","Austria","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","12.2",""
"Mild","Austria","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","9.6",""
"Mild","Austria","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","11.4",""
"Mild","Austria","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","13.9",""
"Mild","Austria","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","16.6",""
"Mild","Austria","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","16.5",""
"Mild","Austria","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","16.8",""
"Mild","Austria","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","19.0",""
"Mild","Austria","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","19.2",""
"Mild","Poland","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","4.7",""
"Mild","Poland","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","4.6",""
"Mild","Poland","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","6.3",""
"Mild","Poland","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","11.1",""
"Mild","Poland","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","16.1",""
"Mild","Poland","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","7.0",""
"Mild","Poland","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","9.3",""
"Mild","Poland","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","10.2",""
"Mild","Poland","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","16.3",""
"Mild","Poland","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","25.0",""
"Mild","Portugal","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","9.6",""
"Mild","Portugal","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","8.7",""
"Mild","Portugal","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","8.6",""
"Mild","Portugal","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","11.9",""
"Mild","Portugal","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","17.3",""
"Mild","Portugal","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","13.2",""
"Mild","Portugal","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","14.6",""
"Mild","Portugal","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","16.4",""
"Mild","Portugal","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","24.2",""
"Mild","Portugal","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","27.1",""
"Mild","Romania","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","2.6",""
"Mild","Romania","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","5.1",""
"Mild","Romania","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","8.2",""
"Mild","Romania","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","13.3",""
"Mild","Romania","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","22.8",""
"Mild","Romania","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","4.4",""
"Mild","Romania","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","8.3",""
"Mild","Romania","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","9.5",""
"Mild","Romania","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","17.1",""
"Mild","Romania","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","27.4",""
"Mild","Slovenia","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","15.6",""
"Mild","Slovenia","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","12.2",""
"Mild","Slovenia","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","12.9",""
"Mild","Slovenia","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","9.7",""
"Mild","Slovenia","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","11.7",""
"Mild","Slovenia","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","25.1",""
"Mild","Slovenia","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","20.7",""
"Mild","Slovenia","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","16.9",""
"Mild","Slovenia","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","15.7",""
"Mild","Slovenia","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","17.8",""
"Mild","Slovakia","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","4.9",""
"Mild","Slovakia","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","3.1",""
"Mild","Slovakia","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","4.7",""
"Mild","Slovakia","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","10.3",""
"Mild","Slovakia","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","20.6",""
"Mild","Slovakia","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","3.8",""
"Mild","Slovakia","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","6.4",""
"Mild","Slovakia","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","6.7",""
"Mild","Slovakia","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","12.7",""
"Mild","Slovakia","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","23.5",""
"Mild","Finland","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","13.9",""
"Mild","Finland","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","14.6",""
"Mild","Finland","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","11.5",""
"Mild","Finland","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","12.4",""
"Mild","Finland","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","7.1",""
"Mild","Finland","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","21.0",""
"Mild","Finland","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","19.5",""
"Mild","Finland","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","17.9",""
"Mild","Finland","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","12.0",""
"Mild","Finland","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","8.7","u"
"Mild","Sweden","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","15.9",""
"Mild","Sweden","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","16.3",""
"Mild","Sweden","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","13.9",""
"Mild","Sweden","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","12.4",""
"Mild","Sweden","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","8.7",""
"Mild","Sweden","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","23.7",""
"Mild","Sweden","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","21.7",""
"Mild","Sweden","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","20.9",""
"Mild","Sweden","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","15.7",""
"Mild","Sweden","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","13.3",""
"Mild","United Kingdom","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","6.0",""
"Mild","United Kingdom","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","8.5",""
"Mild","United Kingdom","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","9.7",""
"Mild","United Kingdom","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","11.4",""
"Mild","United Kingdom","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","8.3",""
"Mild","United Kingdom","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","15.7",""
"Mild","United Kingdom","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","12.4",""
"Mild","United Kingdom","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","12.8",""
"Mild","United Kingdom","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","12.6",""
"Mild","United Kingdom","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","12.3",""
"Mild","Iceland","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","33.2",""
"Mild","Iceland","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","24.9",""
"Mild","Iceland","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","21.3",""
"Mild","Iceland","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","13.9",""
"Mild","Iceland","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","13.0",""
"Mild","Iceland","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","34.8",""
"Mild","Iceland","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","29.7",""
"Mild","Iceland","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","23.6",""
"Mild","Iceland","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","22.1",""
"Mild","Iceland","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","20.7",""
"Mild","Norway","Males","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","18.1",""
"Mild","Norway","Males","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","15.0",""
"Mild","Norway","Males","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","14.1",""
"Mild","Norway","Males","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","11.2",""
"Mild","Norway","Males","65 years or over","All ISCED 2011 levels ","2014","Percentage","9.4",""
"Mild","Norway","Females","From 15 to 24 years","All ISCED 2011 levels ","2014","Percentage","27.5",""
"Mild","Norway","Females","From 25 to 34 years","All ISCED 2011 levels ","2014","Percentage","20.4",""
"Mild","Norway","Females","From 35 to 44 years","All ISCED 2011 levels ","2014","Percentage","16.5",""
"Mild","Norway","Females","From 45 to 64 years","All ISCED 2011 levels ","2014","Percentage","16.4",""
"Mild","Norway","Females","65 years or over","All ISCED 2011 levels ","2014","Percentage","15.2",""
