"LEVELS","GEO","UNIT","ISCED11","TIME","SEX","AGE","Value","Flag and Footnotes"
"Moderate","Estonia","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","25.6",""
"Moderate","Ireland","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","1.3",""
"Moderate","Ireland","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","5.1",""
"Moderate","Ireland","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","8.0",""
"Moderate","Ireland","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","12.7",""
"Moderate","Ireland","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","18.7",""
"Moderate","Ireland","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","6.8",""
"Moderate","Ireland","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","9.9",""
"Moderate","Ireland","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","10.5",""
"Moderate","Ireland","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","14.6",""
"Moderate","Ireland","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","23.0",""
"Moderate","Greece","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","3.9",""
"Moderate","Greece","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","3.2",""
"Moderate","Greece","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","6.6",""
"Moderate","Greece","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","3.9",""
"Moderate","Greece","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","12.8",""
"Moderate","Greece","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","5.5",""
"Moderate","Greece","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","4.3",""
"Moderate","Greece","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","8.4",""
"Moderate","Greece","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","10.4",""
"Moderate","Greece","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","18.9",""
"Moderate","Spain","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","4.9",""
"Moderate","Spain","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","6.8",""
"Moderate","Spain","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","10.2",""
"Moderate","Spain","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","11.4",""
"Moderate","Spain","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","15.2",""
"Moderate","Spain","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","12.0",""
"Moderate","Spain","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","11.7",""
"Moderate","Spain","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","13.5",""
"Moderate","Spain","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","18.4",""
"Moderate","Spain","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","27.5",""
"Moderate","France","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","8.0",""
"Moderate","France","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","13.5",""
"Moderate","France","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","18.1",""
"Moderate","France","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","20.9",""
"Moderate","France","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","31.5",""
"Moderate","France","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","12.6",""
"Moderate","France","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","15.8",""
"Moderate","France","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","21.6",""
"Moderate","France","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","25.2",""
"Moderate","France","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","31.8",""
"Moderate","Croatia","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","2.4",""
"Moderate","Croatia","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","5.3",""
"Moderate","Croatia","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","14.7",""
"Moderate","Croatia","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","16.3",""
"Moderate","Croatia","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","21.7",""
"Moderate","Croatia","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","4.6",""
"Moderate","Croatia","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","9.9",""
"Moderate","Croatia","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","12.4",""
"Moderate","Croatia","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","18.7",""
"Moderate","Croatia","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","27.7",""
"Moderate","Italy","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","4.6",""
"Moderate","Italy","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","4.9",""
"Moderate","Italy","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","8.4",""
"Moderate","Italy","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","11.2",""
"Moderate","Italy","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","15.0",""
"Moderate","Italy","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","6.5",""
"Moderate","Italy","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","7.2",""
"Moderate","Italy","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","9.6",""
"Moderate","Italy","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","14.9",""
"Moderate","Italy","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","22.8",""
"Moderate","Cyprus","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","3.5",""
"Moderate","Cyprus","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","5.6",""
"Moderate","Cyprus","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","6.0",""
"Moderate","Cyprus","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","6.9",""
"Moderate","Cyprus","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","15.6",""
"Moderate","Cyprus","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","5.6",""
"Moderate","Cyprus","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","4.1",""
"Moderate","Cyprus","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","7.8",""
"Moderate","Cyprus","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","11.1",""
"Moderate","Cyprus","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","17.1",""
"Moderate","Latvia","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","4.2",""
"Moderate","Latvia","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","6.0",""
"Moderate","Latvia","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","5.9",""
"Moderate","Latvia","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","8.4",""
"Moderate","Latvia","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","11.6",""
"Moderate","Latvia","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","2.6",""
"Moderate","Latvia","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","3.2",""
"Moderate","Latvia","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","8.0",""
"Moderate","Latvia","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","12.0",""
"Moderate","Latvia","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","16.2",""
"Moderate","Lithuania","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","5.1",""
"Moderate","Lithuania","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","6.6",""
"Moderate","Lithuania","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","13.1",""
"Moderate","Lithuania","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","24.9",""
"Moderate","Lithuania","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","31.1",""
"Moderate","Lithuania","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","9.7",""
"Moderate","Lithuania","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","14.0",""
"Moderate","Lithuania","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","15.7",""
"Moderate","Lithuania","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","25.5",""
"Moderate","Lithuania","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","37.9",""
"Moderate","Luxembourg","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","10.3",""
"Moderate","Luxembourg","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","11.6",""
"Moderate","Luxembourg","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","15.1",""
"Moderate","Luxembourg","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","18.7",""
"Moderate","Luxembourg","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","22.8",""
"Moderate","Luxembourg","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","10.8",""
"Moderate","Luxembourg","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","15.5",""
"Moderate","Luxembourg","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","15.5",""
"Moderate","Luxembourg","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","24.1",""
"Moderate","Luxembourg","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","30.8",""
"Moderate","Hungary","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","5.5",""
"Moderate","Hungary","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","8.4",""
"Moderate","Hungary","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","8.3",""
"Moderate","Hungary","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","13.1",""
"Moderate","Hungary","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","18.2",""
"Moderate","Hungary","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","7.0",""
"Moderate","Hungary","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","8.5",""
"Moderate","Hungary","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","8.9",""
"Moderate","Hungary","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","13.3",""
"Moderate","Hungary","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","24.4",""
"Moderate","Malta","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","4.0",""
"Moderate","Malta","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","5.2",""
"Moderate","Malta","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","6.6",""
"Moderate","Malta","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","6.3",""
"Moderate","Malta","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","10.2",""
"Moderate","Malta","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","3.3",""
"Moderate","Malta","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","6.8",""
"Moderate","Malta","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","6.1",""
"Moderate","Malta","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","11.1",""
"Moderate","Malta","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","14.1",""
"Moderate","Netherlands","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","7.4",""
"Moderate","Netherlands","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","10.4",""
"Moderate","Netherlands","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","9.1",""
"Moderate","Netherlands","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","11.3",""
"Moderate","Netherlands","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","10.8",""
"Moderate","Netherlands","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","14.1",""
"Moderate","Netherlands","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","13.8",""
"Moderate","Netherlands","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","13.7",""
"Moderate","Netherlands","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","15.1",""
"Moderate","Netherlands","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","18.4",""
"Moderate","Austria","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","4.3",""
"Moderate","Austria","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","6.6",""
"Moderate","Austria","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","11.0",""
"Moderate","Austria","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","14.0",""
"Moderate","Austria","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","17.7",""
"Moderate","Austria","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","8.7",""
"Moderate","Austria","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","7.0",""
"Moderate","Austria","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","12.7",""
"Moderate","Austria","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","17.7",""
"Moderate","Austria","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","23.9",""
"Moderate","Poland","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","5.6",""
"Moderate","Poland","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","9.5",""
"Moderate","Poland","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","14.5",""
"Moderate","Poland","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","22.6",""
"Moderate","Poland","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","28.8",""
"Moderate","Poland","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","10.0",""
"Moderate","Poland","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","12.1",""
"Moderate","Poland","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","15.8",""
"Moderate","Poland","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","25.5",""
"Moderate","Poland","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","32.4",""
"Moderate","Portugal","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","5.8",""
"Moderate","Portugal","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","7.0",""
"Moderate","Portugal","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","9.5",""
"Moderate","Portugal","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","12.2",""
"Moderate","Portugal","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","17.2",""
"Moderate","Portugal","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","9.9",""
"Moderate","Portugal","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","10.9",""
"Moderate","Portugal","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","14.4",""
"Moderate","Portugal","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","18.5",""
"Moderate","Portugal","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","24.2",""
"Moderate","Romania","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","0.4",""
"Moderate","Romania","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","1.0",""
"Moderate","Romania","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","3.5",""
"Moderate","Romania","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","13.4",""
"Moderate","Romania","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","35.8",""
"Moderate","Romania","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","1.7",""
"Moderate","Romania","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","2.1",""
"Moderate","Romania","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","5.0",""
"Moderate","Romania","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","19.1",""
"Moderate","Romania","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","38.3",""
"Moderate","Slovenia","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","9.7",""
"Moderate","Slovenia","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","13.3",""
"Moderate","Slovenia","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","17.1",""
"Moderate","Slovenia","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","22.8",""
"Moderate","Slovenia","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","25.3",""
"Moderate","Slovenia","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","17.9",""
"Moderate","Slovenia","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","18.1",""
"Moderate","Slovenia","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","21.8",""
"Moderate","Slovenia","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","27.0",""
"Moderate","Slovenia","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","34.5",""
"Moderate","Slovakia","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","4.0",""
"Moderate","Slovakia","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","5.6",""
"Moderate","Slovakia","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","9.0",""
"Moderate","Slovakia","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","16.0",""
"Moderate","Slovakia","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","25.5",""
"Moderate","Slovakia","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","4.7",""
"Moderate","Slovakia","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","8.7",""
"Moderate","Slovakia","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","11.2",""
"Moderate","Slovakia","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","23.1",""
"Moderate","Slovakia","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","29.5",""
"Moderate","Finland","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","9.9",""
"Moderate","Finland","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","16.0",""
"Moderate","Finland","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","15.2",""
"Moderate","Finland","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","19.9",""
"Moderate","Finland","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","17.2",""
"Moderate","Finland","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","20.6",""
"Moderate","Finland","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","16.8",""
"Moderate","Finland","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","17.1",""
"Moderate","Finland","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","23.0",""
"Moderate","Finland","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","26.8",""
"Moderate","Sweden","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","8.0",""
"Moderate","Sweden","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","14.5",""
"Moderate","Sweden","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","13.8",""
"Moderate","Sweden","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","18.2",""
"Moderate","Sweden","Percentage","All ISCED 2011 levels ","2014","Males","65 years or over","18.5",""
"Moderate","Sweden","Percentage","All ISCED 2011 levels ","2014","Females","From 15 to 24 years","16.3",""
"Moderate","Sweden","Percentage","All ISCED 2011 levels ","2014","Females","From 25 to 34 years","15.2",""
"Moderate","Sweden","Percentage","All ISCED 2011 levels ","2014","Females","From 35 to 44 years","15.0",""
"Moderate","Sweden","Percentage","All ISCED 2011 levels ","2014","Females","From 45 to 64 years","23.0",""
"Moderate","Sweden","Percentage","All ISCED 2011 levels ","2014","Females","65 years or over","26.8",""
"Moderate","United Kingdom","Percentage","All ISCED 2011 levels ","2014","Males","From 15 to 24 years","4.9",""
"Moderate","United Kingdom","Percentage","All ISCED 2011 levels ","2014","Males","From 25 to 34 years","7.7",""
"Moderate","United Kingdom","Percentage","All ISCED 2011 levels ","2014","Males","From 35 to 44 years","8.3",""
"Moderate","United Kingdom","Percentage","All ISCED 2011 levels ","2014","Males","From 45 to 64 years","13.6",""
