"ISCO08","GEO","UNIT","DURATION","TIME","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"Medical doctors","Bulgaria","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","50.9",""
"Medical doctors","Bulgaria","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","49.4",""
"Medical doctors","Bulgaria","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","59.5",""
"Medical doctors","Bulgaria","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","71.4",""
"Medical doctors","Bulgaria","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","65 years or over","88.2",""
"Medical doctors","Bulgaria","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","60.6",""
"Medical doctors","Bulgaria","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","70.0",""
"Medical doctors","Bulgaria","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","74.7",""
"Medical doctors","Bulgaria","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","84.8",""
"Medical doctors","Bulgaria","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","65 years or over","91.4",""
"Medical doctors","Bulgaria","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","45.5",""
"Medical doctors","Bulgaria","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","47.6",""
"Medical doctors","Bulgaria","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","38.6",""
"Medical doctors","Bulgaria","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","26.9",""
"Medical doctors","Bulgaria","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","65 years or over","11.5",""
"Medical doctors","Bulgaria","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","36.9",""
"Medical doctors","Bulgaria","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","27.4",""
"Medical doctors","Bulgaria","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","24.8",""
"Medical doctors","Bulgaria","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","14.8",""
"Medical doctors","Bulgaria","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","65 years or over","8.4",""
"Medical doctors","Bulgaria","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","3.6",""
"Medical doctors","Bulgaria","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","3.0",""
"Medical doctors","Bulgaria","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","2.0",""
"Medical doctors","Bulgaria","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","1.7",""
"Medical doctors","Bulgaria","Percentage","Never","2014","All ISCED 2011 levels ","Males","65 years or over","0.3",""
"Medical doctors","Bulgaria","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","2.4",""
"Medical doctors","Bulgaria","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","2.7",""
"Medical doctors","Bulgaria","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.5",""
"Medical doctors","Bulgaria","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.4",""
"Medical doctors","Bulgaria","Percentage","Never","2014","All ISCED 2011 levels ","Females","65 years or over","0.2",""
"Medical doctors","Czechia","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 15 to 24 years",":",""
"Medical doctors","Czechia","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 25 to 34 years",":",""
"Medical doctors","Czechia","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 35 to 44 years",":",""
"Medical doctors","Czechia","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 45 to 64 years",":",""
"Medical doctors","Czechia","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","65 years or over",":",""
"Medical doctors","Czechia","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 15 to 24 years",":",""
"Medical doctors","Czechia","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 25 to 34 years",":",""
"Medical doctors","Czechia","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 35 to 44 years",":",""
"Medical doctors","Czechia","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 45 to 64 years",":",""
"Medical doctors","Czechia","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","65 years or over",":",""
"Medical doctors","Czechia","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 15 to 24 years",":",""
"Medical doctors","Czechia","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 25 to 34 years",":",""
"Medical doctors","Czechia","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 35 to 44 years",":",""
"Medical doctors","Czechia","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 45 to 64 years",":",""
"Medical doctors","Czechia","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","65 years or over",":",""
"Medical doctors","Czechia","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 15 to 24 years",":",""
"Medical doctors","Czechia","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 25 to 34 years",":",""
"Medical doctors","Czechia","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 35 to 44 years",":",""
"Medical doctors","Czechia","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 45 to 64 years",":",""
"Medical doctors","Czechia","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","65 years or over",":",""
"Medical doctors","Czechia","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","69.2",""
"Medical doctors","Czechia","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","66.5",""
"Medical doctors","Czechia","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","72.3",""
"Medical doctors","Czechia","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","86.5",""
"Medical doctors","Czechia","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","65 years or over","92.8",""
"Medical doctors","Czechia","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","90.3",""
"Medical doctors","Czechia","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","89.7",""
"Medical doctors","Czechia","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","88.2",""
"Medical doctors","Czechia","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","92.0",""
"Medical doctors","Czechia","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","65 years or over","95.4",""
"Medical doctors","Czechia","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","30.8",""
"Medical doctors","Czechia","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","33.5",""
"Medical doctors","Czechia","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","27.7",""
"Medical doctors","Czechia","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","13.5",""
"Medical doctors","Czechia","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","65 years or over","7.2",""
"Medical doctors","Czechia","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","9.7",""
"Medical doctors","Czechia","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","10.3",""
"Medical doctors","Czechia","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","11.8",""
"Medical doctors","Czechia","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","8.0",""
"Medical doctors","Czechia","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","65 years or over","4.6",""
"Medical doctors","Czechia","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","0",""
"Medical doctors","Czechia","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0",""
"Medical doctors","Czechia","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0",""
"Medical doctors","Czechia","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0",""
"Medical doctors","Czechia","Percentage","Never","2014","All ISCED 2011 levels ","Males","65 years or over","0",""
"Medical doctors","Czechia","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","0",""
"Medical doctors","Czechia","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0",""
"Medical doctors","Czechia","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0",""
"Medical doctors","Czechia","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0",""
"Medical doctors","Czechia","Percentage","Never","2014","All ISCED 2011 levels ","Females","65 years or over","0",""
"Medical doctors","Denmark","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 15 to 24 years",":",""
"Medical doctors","Denmark","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 25 to 34 years",":",""
"Medical doctors","Denmark","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 35 to 44 years",":",""
"Medical doctors","Denmark","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 45 to 64 years",":",""
"Medical doctors","Denmark","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","65 years or over",":",""
"Medical doctors","Denmark","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 15 to 24 years",":",""
"Medical doctors","Denmark","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 25 to 34 years",":",""
"Medical doctors","Denmark","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 35 to 44 years",":",""
"Medical doctors","Denmark","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 45 to 64 years",":",""
"Medical doctors","Denmark","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","65 years or over",":",""
"Medical doctors","Denmark","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 15 to 24 years",":",""
"Medical doctors","Denmark","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 25 to 34 years",":",""
"Medical doctors","Denmark","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 35 to 44 years",":",""
"Medical doctors","Denmark","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 45 to 64 years",":",""
"Medical doctors","Denmark","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","65 years or over",":",""
"Medical doctors","Denmark","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 15 to 24 years",":",""
"Medical doctors","Denmark","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 25 to 34 years",":",""
"Medical doctors","Denmark","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 35 to 44 years",":",""
"Medical doctors","Denmark","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 45 to 64 years",":",""
"Medical doctors","Denmark","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","65 years or over",":",""
"Medical doctors","Denmark","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","67.1",""
"Medical doctors","Denmark","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","69.2",""
"Medical doctors","Denmark","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","70.0",""
"Medical doctors","Denmark","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","77.1",""
"Medical doctors","Denmark","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","65 years or over","91.1",""
"Medical doctors","Denmark","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","89.1",""
"Medical doctors","Denmark","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","94.9",""
"Medical doctors","Denmark","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","86.8",""
"Medical doctors","Denmark","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","86.5",""
"Medical doctors","Denmark","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","65 years or over","90.0",""
"Medical doctors","Denmark","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","30.1",""
"Medical doctors","Denmark","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","30.0",""
"Medical doctors","Denmark","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","30.0",""
"Medical doctors","Denmark","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","22.2",""
"Medical doctors","Denmark","Percentage","1 year or over","2014","All ISCED 2011 levels ","Males","65 years or over","8.6",""
"Medical doctors","Denmark","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","9.8",""
"Medical doctors","Denmark","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","4.8",""
"Medical doctors","Denmark","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","12.7",""
"Medical doctors","Denmark","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","13.2",""
"Medical doctors","Denmark","Percentage","1 year or over","2014","All ISCED 2011 levels ","Females","65 years or over","9.2",""
"Medical doctors","Denmark","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","2.8",""
"Medical doctors","Denmark","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","0.8",""
"Medical doctors","Denmark","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","0",""
"Medical doctors","Denmark","Percentage","Never","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","0.7",""
"Medical doctors","Denmark","Percentage","Never","2014","All ISCED 2011 levels ","Males","65 years or over","0.3",""
"Medical doctors","Denmark","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","1.1",""
"Medical doctors","Denmark","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","0.3",""
"Medical doctors","Denmark","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","0.5",""
"Medical doctors","Denmark","Percentage","Never","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","0.3",""
"Medical doctors","Denmark","Percentage","Never","2014","All ISCED 2011 levels ","Females","65 years or over","0.8",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 15 to 24 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 25 to 34 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 35 to 44 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","From 45 to 64 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Males","65 years or over",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 15 to 24 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 25 to 34 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 35 to 44 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","From 45 to 64 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 6 months","2014","All ISCED 2011 levels ","Females","65 years or over",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 15 to 24 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 25 to 34 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 35 to 44 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","From 45 to 64 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Males","65 years or over",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 15 to 24 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 25 to 34 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 35 to 44 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","From 45 to 64 years",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","From 6 to 12 months","2014","All ISCED 2011 levels ","Females","65 years or over",":",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 15 to 24 years","78.9",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 25 to 34 years","75.9",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 35 to 44 years","77.4",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","From 45 to 64 years","84.4",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Males","65 years or over","93.1",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 15 to 24 years","90.8",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 25 to 34 years","88.8",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 35 to 44 years","87.9",""
"Medical doctors","Germany (until 1990 former territory of the FRG)","Percentage","Less than 1 year","2014","All ISCED 2011 levels ","Females","From 45 to 64 years","90.6",""
