"TIME","GEO","UNIT","ISCED11","SEX","AGE","Value","Flag and Footnotes"
"2014","Ireland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","50.9",""
"2014","Ireland","Percentage","All ISCED 2011 levels ","Females","65 years or over","81.9",""
"2014","Greece","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","11.7",""
"2014","Greece","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","17.7",""
"2014","Greece","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","21.1",""
"2014","Greece","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","43.8",""
"2014","Greece","Percentage","All ISCED 2011 levels ","Males","65 years or over","85.9",""
"2014","Greece","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","18.0",""
"2014","Greece","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","25.0",""
"2014","Greece","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","31.8",""
"2014","Greece","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","57.3",""
"2014","Greece","Percentage","All ISCED 2011 levels ","Females","65 years or over","90.5",""
"2014","Spain","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","17.2",""
"2014","Spain","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","24.2",""
"2014","Spain","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","30.0",""
"2014","Spain","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","56.1",""
"2014","Spain","Percentage","All ISCED 2011 levels ","Males","65 years or over","87.1",""
"2014","Spain","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","33.2",""
"2014","Spain","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","38.8",""
"2014","Spain","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","45.6",""
"2014","Spain","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","65.1",""
"2014","Spain","Percentage","All ISCED 2011 levels ","Females","65 years or over","92.0",""
"2014","France","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","22.0",""
"2014","France","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","27.4",""
"2014","France","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","33.3",""
"2014","France","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","51.2",""
"2014","France","Percentage","All ISCED 2011 levels ","Males","65 years or over","84.8",""
"2014","France","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","32.1",""
"2014","France","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","39.7",""
"2014","France","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","43.5",""
"2014","France","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","62.4",""
"2014","France","Percentage","All ISCED 2011 levels ","Females","65 years or over","85.1",""
"2014","Croatia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","9.9",""
"2014","Croatia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","15.3",""
"2014","Croatia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","25.7",""
"2014","Croatia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","54.6",""
"2014","Croatia","Percentage","All ISCED 2011 levels ","Males","65 years or over","81.9",""
"2014","Croatia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","12.8",""
"2014","Croatia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","22.5",""
"2014","Croatia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","33.8",""
"2014","Croatia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","61.2",""
"2014","Croatia","Percentage","All ISCED 2011 levels ","Females","65 years or over","86.1",""
"2014","Italy","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","11.5",""
"2014","Italy","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","13.5",""
"2014","Italy","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","19.4",""
"2014","Italy","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","37.0",""
"2014","Italy","Percentage","All ISCED 2011 levels ","Males","65 years or over","62.9",""
"2014","Italy","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","16.4",""
"2014","Italy","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","23.8",""
"2014","Italy","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","29.6",""
"2014","Italy","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","43.6",""
"2014","Italy","Percentage","All ISCED 2011 levels ","Females","65 years or over","67.2",""
"2014","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","10.0",""
"2014","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","12.3",""
"2014","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","21.2",""
"2014","Cyprus","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","47.0",""
"2014","Cyprus","Percentage","All ISCED 2011 levels ","Males","65 years or over","82.0",""
"2014","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","12.2",""
"2014","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","15.3",""
"2014","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","25.2",""
"2014","Cyprus","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","48.0",""
"2014","Cyprus","Percentage","All ISCED 2011 levels ","Females","65 years or over","86.5",""
"2014","Latvia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","12.3",""
"2014","Latvia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","12.8",""
"2014","Latvia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","17.4",""
"2014","Latvia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","38.1",""
"2014","Latvia","Percentage","All ISCED 2011 levels ","Males","65 years or over","66.8",""
"2014","Latvia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","25.9",""
"2014","Latvia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","21.9",""
"2014","Latvia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","30.0",""
"2014","Latvia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","54.2",""
"2014","Latvia","Percentage","All ISCED 2011 levels ","Females","65 years or over","80.0",""
"2014","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","9.8",""
"2014","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","8.3",""
"2014","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","17.5",""
"2014","Lithuania","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","41.8",""
"2014","Lithuania","Percentage","All ISCED 2011 levels ","Males","65 years or over","76.2",""
"2014","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","10.6",""
"2014","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","13.8",""
"2014","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","23.5",""
"2014","Lithuania","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","55.5",""
"2014","Lithuania","Percentage","All ISCED 2011 levels ","Females","65 years or over","85.0",""
"2014","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","24.7",""
"2014","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","31.9",""
"2014","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","38.7",""
"2014","Luxembourg","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","66.8",""
"2014","Luxembourg","Percentage","All ISCED 2011 levels ","Males","65 years or over","89.0",""
"2014","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","33.5",""
"2014","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","42.2",""
"2014","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","46.5",""
"2014","Luxembourg","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","67.3",""
"2014","Luxembourg","Percentage","All ISCED 2011 levels ","Females","65 years or over","86.6",""
"2014","Hungary","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","14.5",""
"2014","Hungary","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","15.2",""
"2014","Hungary","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","27.3",""
"2014","Hungary","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","58.4",""
"2014","Hungary","Percentage","All ISCED 2011 levels ","Males","65 years or over","85.7",""
"2014","Hungary","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","27.0",""
"2014","Hungary","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","29.1",""
"2014","Hungary","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","30.6",""
"2014","Hungary","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","66.1",""
"2014","Hungary","Percentage","All ISCED 2011 levels ","Females","65 years or over","90.3",""
"2014","Malta","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","20.3",""
"2014","Malta","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","18.2",""
"2014","Malta","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","29.4",""
"2014","Malta","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","56.0",""
"2014","Malta","Percentage","All ISCED 2011 levels ","Males","65 years or over","77.4",""
"2014","Malta","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","23.7",""
"2014","Malta","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","20.7",""
"2014","Malta","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","38.1",""
"2014","Malta","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","60.6",""
"2014","Malta","Percentage","All ISCED 2011 levels ","Females","65 years or over","84.7",""
"2014","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","18.2",""
"2014","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","22.6",""
"2014","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","28.7",""
"2014","Netherlands","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","47.3",""
"2014","Netherlands","Percentage","All ISCED 2011 levels ","Males","65 years or over","78.5",""
"2014","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","25.7",""
"2014","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","27.0",""
"2014","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","36.9",""
"2014","Netherlands","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","54.6",""
"2014","Netherlands","Percentage","All ISCED 2011 levels ","Females","65 years or over","80.2",""
"2014","Austria","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","14.5",""
"2014","Austria","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","22.3",""
"2014","Austria","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","31.0",""
"2014","Austria","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","51.3",""
"2014","Austria","Percentage","All ISCED 2011 levels ","Males","65 years or over","80.9",""
"2014","Austria","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","26.4",""
"2014","Austria","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","34.0",""
"2014","Austria","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","40.9",""
"2014","Austria","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","59.3",""
"2014","Austria","Percentage","All ISCED 2011 levels ","Females","65 years or over","86.3",""
"2014","Poland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","13.8",""
"2014","Poland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","17.7",""
"2014","Poland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","26.6",""
"2014","Poland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","54.5",""
"2014","Poland","Percentage","All ISCED 2011 levels ","Males","65 years or over","83.3",""
"2014","Poland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","22.4",""
"2014","Poland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","29.4",""
"2014","Poland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","36.3",""
"2014","Poland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","63.9",""
"2014","Poland","Percentage","All ISCED 2011 levels ","Females","65 years or over","90.3",""
"2014","Portugal","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","23.8",""
"2014","Portugal","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","18.6",""
"2014","Portugal","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","30.7",""
"2014","Portugal","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","57.6",""
"2014","Portugal","Percentage","All ISCED 2011 levels ","Males","65 years or over","87.2",""
"2014","Portugal","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","32.5",""
"2014","Portugal","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","37.3",""
"2014","Portugal","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","45.0",""
"2014","Portugal","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","69.3",""
"2014","Portugal","Percentage","All ISCED 2011 levels ","Females","65 years or over","92.8",""
"2014","Romania","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","1.7",""
"2014","Romania","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","2.7",""
"2014","Romania","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","4.9",""
"2014","Romania","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","22.0",""
"2014","Romania","Percentage","All ISCED 2011 levels ","Males","65 years or over","57.3",""
"2014","Romania","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","3.1",""
"2014","Romania","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","4.9",""
"2014","Romania","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","5.7",""
"2014","Romania","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","32.0",""
"2014","Romania","Percentage","All ISCED 2011 levels ","Females","65 years or over","63.6",""
"2014","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","13.1",""
"2014","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","14.3",""
"2014","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","21.9",""
"2014","Slovenia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","53.8",""
"2014","Slovenia","Percentage","All ISCED 2011 levels ","Males","65 years or over","82.4",""
"2014","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","20.1",""
"2014","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","19.7",""
"2014","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","29.2",""
"2014","Slovenia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","59.0",""
"2014","Slovenia","Percentage","All ISCED 2011 levels ","Females","65 years or over","88.0",""
"2014","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","14.8",""
"2014","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","16.3",""
"2014","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","22.3",""
"2014","Slovakia","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","55.1",""
"2014","Slovakia","Percentage","All ISCED 2011 levels ","Males","65 years or over","83.4",""
"2014","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","19.0",""
"2014","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","26.9",""
"2014","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","33.2",""
"2014","Slovakia","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","63.1",""
"2014","Slovakia","Percentage","All ISCED 2011 levels ","Females","65 years or over","91.5",""
"2014","Finland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","24.1",""
"2014","Finland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","27.0",""
"2014","Finland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","33.3",""
"2014","Finland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","59.7",""
"2014","Finland","Percentage","All ISCED 2011 levels ","Males","65 years or over","80.3",""
"2014","Finland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","33.3",""
"2014","Finland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","37.9",""
"2014","Finland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","46.6",""
"2014","Finland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","66.8",""
"2014","Finland","Percentage","All ISCED 2011 levels ","Females","65 years or over","84.1",""
"2014","Sweden","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","17.6",""
"2014","Sweden","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","19.8",""
"2014","Sweden","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","24.5",""
"2014","Sweden","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","46.0",""
"2014","Sweden","Percentage","All ISCED 2011 levels ","Males","65 years or over","77.0",""
"2014","Sweden","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","29.0",""
"2014","Sweden","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","33.3",""
"2014","Sweden","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","45.3",""
"2014","Sweden","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","53.9",""
"2014","Sweden","Percentage","All ISCED 2011 levels ","Females","65 years or over","82.4",""
"2014","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","20.5",""
"2014","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","21.2",""
"2014","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","32.0",""
"2014","United Kingdom","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","55.2",""
"2014","United Kingdom","Percentage","All ISCED 2011 levels ","Males","65 years or over","83.5",""
"2014","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","37.4",""
"2014","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","39.8",""
"2014","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","41.8",""
"2014","United Kingdom","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","60.1",""
"2014","United Kingdom","Percentage","All ISCED 2011 levels ","Females","65 years or over","83.5",""
"2014","Iceland","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","26.4",""
"2014","Iceland","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","33.3",""
"2014","Iceland","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","30.8",""
"2014","Iceland","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","55.9",""
"2014","Iceland","Percentage","All ISCED 2011 levels ","Males","65 years or over","87.3",""
"2014","Iceland","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","56.2",""
"2014","Iceland","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","45.3",""
"2014","Iceland","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","45.9",""
"2014","Iceland","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","71.1",""
"2014","Iceland","Percentage","All ISCED 2011 levels ","Females","65 years or over","87.1",""
"2014","Norway","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","18.5",""
"2014","Norway","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","20.7",""
"2014","Norway","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","30.5",""
"2014","Norway","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","49.6",""
"2014","Norway","Percentage","All ISCED 2011 levels ","Males","65 years or over","78.2",""
"2014","Norway","Percentage","All ISCED 2011 levels ","Females","From 15 to 24 years","38.4",""
"2014","Norway","Percentage","All ISCED 2011 levels ","Females","From 25 to 34 years","36.5",""
"2014","Norway","Percentage","All ISCED 2011 levels ","Females","From 35 to 44 years","40.5",""
"2014","Norway","Percentage","All ISCED 2011 levels ","Females","From 45 to 64 years","56.6",""
"2014","Norway","Percentage","All ISCED 2011 levels ","Females","65 years or over","80.0",""
"2014","Turkey","Percentage","All ISCED 2011 levels ","Males","From 15 to 24 years","13.7",""
"2014","Turkey","Percentage","All ISCED 2011 levels ","Males","From 25 to 34 years","16.5",""
"2014","Turkey","Percentage","All ISCED 2011 levels ","Males","From 35 to 44 years","20.4",""
"2014","Turkey","Percentage","All ISCED 2011 levels ","Males","From 45 to 64 years","37.5",""
"2014","Turkey","Percentage","All ISCED 2011 levels ","Males","65 years or over","61.4",""
